connectivity,efficiency,label
3.91E+00,-4.48E-04,0.00E+00
3.05E+00,-4.48E-04,0.00E+00
2.46E+00,-4.62E-04,0.00E+00
3.20E+00,-4.74E-04,0.00E+00
3.33E+00,-4.74E-04,0.00E+00
3.32E+00,-4.74E-04,0.00E+00
3.33E+00,-4.74E-04,0.00E+00
3.96E+00,-4.93E-04,0.00E+00
4.45E+00,-4.95E-04,1.00E+00
5.18E+00,-5.07E-04,1.00E+00
2.52E+00,-5.26E-04,1.00E+00
4.58E+00,-5.71E-04,0.00E+00
2.65E+00,-5.80E-04,0.00E+00
2.46E+00,-5.80E-04,0.00E+00
4.60E+00,-5.84E-04,1.00E+00
2.88E+00,-6.44E-04,1.00E+00
3.67E+00,-6.45E-04,0.00E+00
2.68E+00,-6.76E-04,0.00E+00
3.77E+00,-7.93E-04,1.00E+00
2.69E+00,-8.14E-04,0.00E+00
2.68E+00,-8.68E-04,0.00E+00
2.69E+00,-8.68E-04,0.00E+00
3.68E+00,-8.73E-04,0.00E+00
3.47E+00,-8.73E-04,0.00E+00
3.44E+00,-8.73E-04,0.00E+00
3.43E+00,-8.73E-04,0.00E+00
3.45E+00,-8.73E-04,0.00E+00
3.65E+00,-8.90E-04,1.00E+00
3.68E+00,-9.16E-04,1.00E+00
3.91E+00,-1.01E-03,1.00E+00
3.91E+00,-1.03E-03,0.00E+00
3.21E+00,-1.04E-03,1.00E+00
4.11E+00,-1.07E-03,0.00E+00
4.11E+00,-1.07E-03,0.00E+00
3.65E+00,-1.07E-03,0.00E+00
4.74E+00,-1.10E-03,1.00E+00
4.43E+00,-1.28E-03,0.00E+00
4.36E+00,-1.29E-03,0.00E+00
3.65E+00,-1.29E-03,0.00E+00
4.13E+00,-1.49E-03,0.00E+00
3.88E+00,-1.50E-03,0.00E+00
3.79E+00,-1.50E-03,0.00E+00
1.90E+00,-1.59E-03,1.00E+00
4.56E+00,-1.65E-03,1.00E+00
4.56E+00,-1.71E-03,0.00E+00
4.62E+00,-1.94E-03,0.00E+00
1.96E+00,-7.00E-03,0.00E+00
1.96E+00,-7.00E-03,0.00E+00
1.96E+00,-7.00E-03,0.00E+00
1.96E+00,-7.00E-03,0.00E+00
1.97E+00,-7.01E-03,0.00E+00
1.98E+00,-7.01E-03,0.00E+00
